codepoints,emoji-name,keywords
🏻,light skin tone | skin tone | type 1–2,light skin tone
🏼,medium-light skin tone | skin tone | type 3,medium-light skin tone
🏽,medium skin tone | skin tone | type 4,medium skin tone
🏾,medium-dark skin tone | skin tone | type 5,medium-dark skin tone
🏿,dark skin tone | skin tone | type 6,dark skin tone
😀,face | grin | grinning face,grinning face
😁,beaming face with smiling eyes | eye | face | grin | smile,beaming face with smiling eyes
😂,face | face with tears of joy | joy | laugh | tear,face with tears of joy
🤣,face | floor | laugh | rolling | rolling on the floor laughing,rolling on the floor laughing
😃,face | grinning face with big eyes | mouth | open | smile,grinning face with big eyes
😄,eye | face | grinning face with smiling eyes | mouth | open | smile,grinning face with smiling eyes
😅,cold | face | grinning face with sweat | open | smile | sweat,grinning face with sweat
😆,face | grinning squinting face | laugh | mouth | open | satisfied | smile,grinning squinting face
😉,face | wink | winking face,winking face
😊,blush | eye | face | smile | smiling face with smiling eyes,smiling face with smiling eyes
😋,delicious | face | face savoring food | savouring | smile | um | yum,face savoring food
😎,bright | cool | eye | eyewear | face | glasses | smile | smiling face with sunglasses | sun | sunglasses,smiling face with sunglasses
😍,eye | face | love | smile | smiling face with heart-eyes,smiling face with heart-eyes
😘,face | face blowing a kiss | kiss,face blowing a kiss
😗,face | kiss | kissing face,kissing face
😙,eye | face | kiss | kissing face with smiling eyes | smile,kissing face with smiling eyes
😚,closed | eye | face | kiss | kissing face with closed eyes,kissing face with closed eyes
☺,face | outlined | relaxed | smile | smiling face,smiling face
🙂,face | slightly smiling face | smile,slightly smiling face
🤗,face | hug | hugging,hugging face
🤩,eyes | face | grinning | star | star-struck,star-struck
🤔,face | thinking,thinking face
🤨,distrust | face with raised eyebrow | skeptic,face with raised eyebrow
😐,deadpan | face | neutral,neutral face
😑,expressionless | face | inexpressive | unexpressive,expressionless face
😶,face | face without mouth | mouth | quiet | silent,face without mouth
🙄,eyes | face | face with rolling eyes | rolling,face with rolling eyes
😏,face | smirk | smirking face,smirking face
😣,face | persevere | persevering face,persevering face
😥,disappointed | face | relieved | sad but relieved face | whew,sad but relieved face
😮,face | face with open mouth | mouth | open | sympathy,face with open mouth
🤐,face | mouth | zipper | zipper-mouth face,zipper-mouth face
😯,face | hushed | stunned | surprised,hushed face
😪,face | sleep | sleepy face,sleepy face
😫,face | tired,tired face
😴,face | sleep | sleeping face | zzz,sleeping face
😌,face | relieved,relieved face
😛,face | face with tongue | tongue,face with tongue
😜,eye | face | joke | tongue | wink | winking face with tongue,winking face with tongue
😝,eye | face | horrible | squinting face with tongue | taste | tongue,squinting face with tongue
🤤,drooling | face,drooling face
😒,face | unamused | unhappy,unamused face
😓,cold | downcast face with sweat | face | sweat,downcast face with sweat
😔,dejected | face | pensive,pensive face
😕,confused | face,confused face
🙃,face | upside-down,upside-down face
🤑,face | money | money-mouth face | mouth,money-mouth face
😲,astonished | face | shocked | totally,astonished face
☹,face | frown | frowning face,frowning face
🙁,face | frown | slightly frowning face,slightly frowning face
😖,confounded | face,confounded face
😞,disappointed | face,disappointed face
😟,face | worried,worried face
😤,face | face with steam from nose | triumph | won,face with steam from nose
😢,cry | crying face | face | sad | tear,crying face
😭,cry | face | loudly crying face | sad | sob | tear,loudly crying face
😦,face | frown | frowning face with open mouth | mouth | open,frowning face with open mouth
😧,anguished | face,anguished face
😨,face | fear | fearful | scared,fearful face
😩,face | tired | weary,weary face
🤯,exploding head | shocked,exploding head
😬,face | grimace | grimacing face,grimacing face
😰,anxious face with sweat | blue | cold | face | mouth | open | rushed | sweat,anxious face with sweat
😱,face | face screaming in fear | fear | fearful | munch | scared | scream,face screaming in fear
😳,dazed | face | flushed,flushed face
🤪,eye | goofy | large | small | zany face,zany face
😵,dizzy | face,dizzy face
😡,angry | face | mad | pouting | rage | red,pouting face
😠,angry | face | mad,angry face
🤬,face with symbols on mouth | swearing,face with symbols on mouth
😷,cold | doctor | face | face with medical mask | mask | medicine | sick,face with medical mask
🤒,face | face with thermometer | ill | sick | thermometer,face with thermometer
🤕,bandage | face | face with head-bandage | hurt | injury,face with head-bandage
🤢,face | nauseated | vomit,nauseated face
🤮,face vomiting | sick | vomit,face vomiting
🤧,face | gesundheit | sneeze | sneezing face,sneezing face
😇,angel | face | fairy tale | fantasy | halo | innocent | smile | smiling face with halo,smiling face with halo
🤠,cowboy | cowgirl | face | hat,cowboy hat face
🤡,clown | face,clown face
